"actor_1_facebook_likes","actor_2_facebook_likes","actor_3_facebook_likes","director_facebook_likes","duration","budget","imdb_score","title_year","facenumber_in_poster","movie_facebook_likes","cast_total_facebook_likes","num_critic_for_reviews"
1000,936,855,0,178,2.37e+08,7.9,2009,0,33000,4834,723
40000,5000,1000,563,169,3e+08,7.1,2007,0,0,48350,302
11000,393,161,0,148,2.45e+08,6.8,2015,1,85000,11700,602
27000,23000,23000,22000,164,2.5e+08,8.5,2012,0,164000,106759,813
640,632,530,475,132,263700000,6.6,2012,1,24000,1873,462
24000,11000,4000,0,156,2.58e+08,6.2,2007,0,0,46055,392
799,553,284,15,100,2.6e+08,7.8,2010,1,29000,2036,324
26000,21000,19000,0,141,2.5e+08,7.5,2015,4,118000,92000,635
25000,11000,10000,282,153,2.5e+08,7.5,2009,3,10000,58753,375
15000,4000,2000,0,183,2.5e+08,6.9,2016,0,197000,24450,673
18000,10000,903,0,169,2.09e+08,6.1,2006,0,0,29991,434
451,412,393,395,106,2e+08,6.7,2008,1,0,2023,403
40000,5000,1000,563,151,2.25e+08,7.3,2006,2,5000,48486,313
40000,2000,1000,563,150,2.15e+08,6.5,2013,1,48000,45757,450
15000,3000,748,0,143,2.25e+08,7.2,2013,0,118000,20495,733
22000,216,201,80,150,2.25e+08,6.6,2008,4,0,22697,258
26000,21000,19000,0,173,2.2e+08,8.1,2012,3,123000,87697,703
40000,11000,1000,252,136,2.5e+08,6.7,2011,4,58000,54083,448
10000,816,718,188,106,2.25e+08,6.8,2012,1,40000,12572,451
5000,972,773,0,164,2.5e+08,7.5,2014,0,65000,9152,422
15000,10000,963,464,153,2.3e+08,7,2012,0,56000,28489,599
891,882,738,0,156,2e+08,6.7,2010,0,17000,3244,343
5000,972,773,0,186,2.25e+08,7.9,2013,6,83000,9152,509
16000,6000,1000,129,113,1.8e+08,6.1,2007,2,0,24106,251
6000,919,84,0,201,2.07e+08,7.2,2005,0,0,7123,446
29000,14000,794,0,194,2e+08,7.7,1997,0,26000,45223,315
21000,19000,11000,94,147,2.5e+08,8.2,2016,0,72000,64798,516
14000,10000,627,532,131,2.09e+08,5.9,2012,0,44000,26679,377
3000,2000,1000,365,124,1.5e+08,7,2015,0,150000,8458,644
883,563,393,0,143,2e+08,7.8,2012,0,80000,2039,750
24000,11000,4000,0,135,2e+08,7.3,2004,1,0,43388,300
21000,4000,3000,1000,195,2e+08,7.2,2013,3,95000,30426,608
40000,25000,11000,13000,108,2e+08,6.5,2010,0,24000,79957,451
20000,808,560,420,104,2.1e+08,6.8,2006,0,0,21714,334
12000,779,760,37,104,2e+08,7.3,2013,0,44000,14863,376
894,581,464,0,150,2e+08,6,2009,0,0,3218,366
974,956,808,0,165,2.1e+08,5.7,2014,2,56000,3988,378
44000,15000,11000,0,130,2.15e+08,6.4,2013,4,60000,73441,525
15000,10000,825,464,142,2e+08,6.7,2014,0,41000,28631,495
12000,10000,1000,364,125,1.7e+08,6.8,2010,0,30000,25550,469
1000,919,776,487,106,2e+08,6.3,2011,0,10000,4482,304
16000,368,326,258,123,2e+08,5.6,2011,2,24000,17657,436
15000,1000,721,125,103,2e+08,8.3,2010,3,30000,19085,453
23000,3000,988,368,118,2e+08,6.6,2009,0,0,27468,422
26000,23000,14000,0,140,1.9e+08,7.2,2015,0,94000,79150,424
17000,11000,1000,395,123,1.9e+08,7,2013,0,129000,32392,654
34000,22000,20000,0,149,2e+08,8,2014,7,82000,91434,539
19000,981,928,14000,132,1.9e+08,7.8,2013,0,92000,21411,590
979,557,140,0,114,1.95e+08,6.3,2013,1,22000,1766,338
